compensation,cond,participant,exp,shiftMag,group
-6.820746299,up,c24,cat,90.5824816,na
17.29574758,down,c24,cat,-88.45323264,na
-5.703541828,up,c28,cat,121.6622844,na
2.899891769,down,c28,cat,-124.452167,na
-3.674649907,up,c38,cat,126.9964598,na
6.387804836,down,c38,cat,-116.171692,na
19.72590388,up,c45,cat,128.3109765,na
-18.86905852,down,c45,cat,-134.192771,na
-13.17405237,up,c52,cat,106.870636,na
-8.070344438,down,c52,cat,-106.1482038,na
-5.587173214,up,c58,cat,145.6126524,na
7.154025455,down,c58,cat,-153.3259895,na
-12.14147658,up,HOC1,random,124.1848162,na
-1.545963295,down,HOC1,random,-139.3556191,na
5.61641094,up,HOC2,random,119.9385501,na
13.61464294,down,HOC2,random,-133.6189422,na
-9.487497264,up,HOC3,random,113.4759536,na
2.089658328,down,HOC3,random,-124.3885833,na
-8.766557079,up,HOC4,random,122.3942357,na
-9.392551484,down,HOC4,random,-137.1873226,na
-8.513107262,up,HOC5,random,123.7837794,na
-3.71392916,down,HOC5,random,-139.0172754,na
-0.811847172,up,HOC7,random,116.5600726,na
7.779187012,down,HOC7,random,-129.8774851,na
32.22265586,up,HOC9,random,109.6546237,na
16.51157371,down,HOC9,random,-121.4331282,na
-5.22055077,up,HOC10,random,108.5565645,na
1.808340343,down,HOC10,random,-120.0269856,na
-2.297681927,up,HOC13,random,125.4622626,na
0.020265281,down,HOC13,random,-140.9563663,na
4.430952042,up,HOC14,random,117.2484889,na
-1.399929048,down,HOC14,random,-130.7103519,na
-5.46824805,up,HOC15,random,120.9665836,na
0.352897468,down,HOC15,random,-135.4491262,na
-3.798313556,up,HOC16,random,104.6155376,na
-6.081847723,down,HOC16,random,-115.0158039,na
-19.52321587,up,HOC17,random,113.6545809,na
-5.471695695,down,HOC17,random,-126.2665703,na
