oneShot,OSTrial,cond,shiftMag,exp,participant,group,compTrial,compensation
17.1696576960055,193,down,-125,noisyfb,sp006,noisy,192,-24.8174973302517
0.81863196480115,212,down,-125,noisyfb,sp006,noisy,211,-17.2698616518927
-7.50040572925558,215,down,-125,noisyfb,sp006,noisy,214,31.3776448971315
14.5616426913476,218,down,-125,noisyfb,sp006,noisy,217,9.65193359701498
4.71056597321906,231,down,-125,noisyfb,sp006,noisy,230,-6.35110247827493
15.116243866644,236,down,-125,noisyfb,sp006,noisy,235,17.5503251192817
-24.9400510941423,3,up,125,noisyfb,sp007,noisy,2,43.2593202727488
-19.6082572986511,28,up,125,noisyfb,sp007,noisy,27,-11.1618874485722
-43.4795628351026,37,up,125,noisyfb,sp007,noisy,36,-23.8928184500338
-5.4609571369546,109,up,125,noisyfb,sp007,noisy,108,41.2222713284729
-37.5756098058463,137,up,125,noisyfb,sp007,noisy,136,30.0271740131456
-57.9303027842789,140,up,125,noisyfb,sp007,noisy,139,-1.57407125453282
-41.230354641351,151,up,125,noisyfb,sp007,noisy,150,14.4196558511251
-3.96631943298436,163,up,125,noisyfb,sp007,noisy,162,-44.8493984365222
-9.52368340565803,168,up,125,noisyfb,sp007,noisy,167,-25.703882017891
0.257205725524841,177,up,125,noisyfb,sp007,noisy,176,-14.3119621264118
-56.2540217311938,179,up,125,noisyfb,sp007,noisy,178,-30.7615600619766
-8.08673183785861,185,up,125,noisyfb,sp007,noisy,184,-25.6976874933449
-26.6511697498158,199,up,125,noisyfb,sp007,noisy,198,0.854255319881999
-40.6560422467241,5,up,125,noisyfb,sp007,noisy,4,70.9792692013669
-6.11148209285087,11,up,125,noisyfb,sp007,noisy,10,-15.0837955582474
-10.882909602334,22,up,125,noisyfb,sp007,noisy,21,33.9270771660423
19.9831247148395,50,up,125,noisyfb,sp007,noisy,49,15.6117564604608
-30.0722262887157,60,up,125,noisyfb,sp007,noisy,59,9.55816144443525
16.9958861023008,64,up,125,noisyfb,sp007,noisy,63,28.2260273379708
15.7035209810592,66,up,125,noisyfb,sp007,noisy,65,5.61976707865823
-24.305972092286,73,up,125,noisyfb,sp007,noisy,72,-29.4124664780373
17.6467669954644,123,up,125,noisyfb,sp007,noisy,122,-30.9976542924693
23.1850150601283,128,up,125,noisyfb,sp007,noisy,127,16.6342568656939
18.6151804492486,130,up,125,noisyfb,sp007,noisy,129,24.5427330869154
15.588177694588,183,up,125,noisyfb,sp007,noisy,182,-27.8273544809659
2.18481330395658,9,up,125,noisyfb,sp007,noisy,8,37.678443731295
-37.297071444255,24,up,125,noisyfb,sp007,noisy,23,0.11275268166654
-49.9526120772336,31,up,125,noisyfb,sp007,noisy,30,9.84934351251022
-8.38087631039449,45,up,125,noisyfb,sp007,noisy,44,20.038928644163
-33.0601692017845,69,up,125,noisyfb,sp007,noisy,68,4.76520821388948
51.5005478546666,89,up,125,noisyfb,sp007,noisy,88,31.1498599220175
23.1239640908759,91,up,125,noisyfb,sp007,noisy,90,-38.7708177069417
48.5406320795483,104,up,125,noisyfb,sp007,noisy,103,-11.6174582058223
6.55610970950962,117,up,125,noisyfb,sp007,noisy,116,2.20498049034234
12.2533661153352,149,up,125,noisyfb,sp007,noisy,148,-20.9573362526336
26.7467571365862,158,up,125,noisyfb,sp007,noisy,157,-31.0124981351003
23.2315561140507,171,up,125,noisyfb,sp007,noisy,170,-12.8855663334639
21.6791367351069,189,up,125,noisyfb,sp007,noisy,188,-53.5063510098897
3.12959217774086,202,up,125,noisyfb,sp007,noisy,201,-8.59089681900322
2.47335664534169,210,up,125,noisyfb,sp007,noisy,209,5.21495465411162
-37.3282980724712,7,down,-125,noisyfb,sp007,noisy,6,41.828159309004
-1.28781691575219,16,down,-125,noisyfb,sp007,noisy,15,2.32923336909269
41.7690638369919,18,down,-125,noisyfb,sp007,noisy,17,47.311744236403
-7.21501077023823,41,down,-125,noisyfb,sp007,noisy,40,20.4905032391247
-7.0246713899224,79,down,-125,noisyfb,sp007,noisy,78,39.2926864373856
36.5859534163522,96,down,-125,noisyfb,sp007,noisy,95,-6.52126868536239
48.628682653532,134,down,-125,noisyfb,sp007,noisy,133,-54.0221584866606
-11.4918691353365,144,down,-125,noisyfb,sp007,noisy,143,10.7411685360748
-18.364308755279,154,down,-125,noisyfb,sp007,noisy,153,-42.7109031188028
1.95655763196684,196,down,-125,noisyfb,sp007,noisy,195,-0.0862754744610738
13.2120845447903,227,down,-125,noisyfb,sp007,noisy,226,23.395736863845
29.985450198781,238,down,-125,noisyfb,sp007,noisy,237,16.8395962207384
15.795249638222,20,down,-125,noisyfb,sp007,noisy,19,22.9888190506023
13.5269954883382,33,down,-125,noisyfb,sp007,noisy,32,16.6837306886867
-28.3241797717781,57,down,-125,noisyfb,sp007,noisy,56,47.4724298913254
